City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,aykhal,66.0,111.5,-3.39,93,100,2.86,RU,1680050051
84,east london,-33.0153,27.9116,64.85,71,19,22.55,ZA,1680049824
85,mayumba,-3.432,10.6554,77.86,85,100,1.63,GA,1680050052
86,bambous virieux,-20.3428,57.7575,74.21,88,20,3.44,MU,1680050053
87,zhigansk,66.7697,123.3711,-8.84,93,88,12.26,RU,1680050053
88,saquarema,-22.92,-42.5103,75.34,84,100,6.8,BR,1680050053
89,bandarbeyla,9.4942,50.8122,79.57,82,70,4.9,SO,1680050053
90,concord,37.978,-122.0311,53.82,80,100,11.5,US,1680049836
91,santa rosa,14.3122,121.1114,85.1,63,100,9.48,PH,1680050030
92,xining,36.6167,101.7667,39.99,39,12,1.95,CN,1680050054
93,kitgum,3.2783,32.8867,66.88,88,11,2.57,UG,1680050054
94,kodiak,57.79,-152.4072,45.91,53,20,3.44,US,1680050013
95,constitucion,-35.3333,-72.4167,56.79,84,54,23.0,CL,1680050054
96,olinda,-8.0089,-34.8553,82.13,69,40,13.8,BR,1680050054
97,aksay,47.26,39.87,52.25,89,100,5.99,RU,1680050055
98,poum,-20.2333,164.0167,79.72,76,100,6.76,NC,1680050055
99,egvekinot,66.3167,-179.1667,20.01,93,100,4.56,RU,1680050055
100,puerto ayora,-0.7393,-90.3518,80.55,91,72,5.01,EC,1680050056
101,kununurra,-15.7667,128.7333,85.98,70,100,3.44,AU,1680049925
102,strai,58.2,7.9,38.62,94,100,0.0,NO,1680050056
103,northam,51.0333,-4.2167,52.39,96,100,15.39,GB,1680050057
104,saldanha,-33.0117,17.9442,60.85,73,83,18.3,ZA,1680050057
105,cuamba,-14.8031,36.5372,65.84,99,98,3.51,MZ,1680050057
106,sao jose de ribamar,-2.5619,-44.0542,79.18,86,100,10.07,BR,1680050057
107,san jose,37.3394,-121.895,51.39,88,75,5.75,US,1680049912
108,mehamn,71.0357,27.8492,24.71,93,75,2.3,NO,1680050058
109,san rafael del sur,11.8485,-86.4384,85.17,53,0,12.12,NI,1680050058
110,sitka,57.0531,-135.33,42.69,65,100,12.66,US,1680050058
111,katsuura,35.1333,140.3,51.71,93,100,7.05,JP,1680050058
112,mujiayingzi,42.1167,118.7833,55.06,18,0,8.97,CN,1680050059
113,comodoro rivadavia,-45.8667,-67.5,49.86,53,0,18.41,AR,1680049806
114,mar del plata,-38.0023,-57.5575,80.1,64,0,9.22,AR,1680049933
115,bull savanna,17.8868,-77.5902,75.72,72,97,2.3,JM,1680050059
116,mahebourg,-20.4081,57.7,74.25,88,20,3.44,MU,1680050059
117,saurimo,-9.6608,20.3916,64.31,97,100,1.74,AO,1680050060
118,fort nelson,58.8053,-122.7002,49.59,27,40,12.66,CA,1680050060
119,mahibadhoo,3.7833,72.9667,82.65,67,100,2.19,MV,1680050060
120,barrow,71.2906,-156.7887,5.02,78,100,17.27,US,1680050060
121,olafsvik,64.8945,-23.7142,31.1,63,100,24.05,IS,1680050061
122,borogontsy,62.6683,131.1683,17.8,95,100,7.23,RU,1680050061
123,hit,33.6416,42.8251,64.13,55,0,8.86,IQ,1680050061
124,vestmannaeyjar,63.4427,-20.2734,36.45,71,100,24.67,IS,1680050061
125,qaanaaq,77.484,-69.3632,-12.39,62,70,7.47,GL,1680050062
126,calamar,10.2511,-74.9146,79.21,75,0,10.74,CO,1680050062
127,narsaq,60.9167,-46.05,32.22,68,17,10.07,GL,1680050062
128,jefferson city,38.5767,-92.1735,48.11,57,0,0.0,US,1680049984
129,tumut,-35.3,148.2167,58.19,89,100,11.39,AU,1680050063
130,lagoa,39.05,-27.9833,56.35,79,0,32.84,PT,1680050063
131,seoul,37.5683,126.9778,49.57,64,20,2.3,KR,1680049929
132,baoding,38.8511,115.4903,61.18,30,0,4.85,CN,1680050063
133,gat,31.61,34.7642,58.82,69,0,3.89,IL,1680050064
134,bredasdorp,-34.5322,20.0403,60.03,67,100,9.4,ZA,1680050064
135,serenje,-13.2325,30.2352,57.02,97,46,4.09,ZM,1680050064
136,that phanom,16.9364,104.7104,75.22,62,24,10.65,TH,1680050064
137,port lincoln,-34.7333,135.8667,64.31,69,91,13.85,AU,1680049836
138,tigil,57.8,158.6667,25.95,83,99,16.64,RU,1680049988
139,alta floresta,-9.8756,-56.0861,71.67,95,100,2.15,BR,1680050065
